10-31-2017 | 12:05:57 |   192.168.4.55|161201|http://localhost/NDUB/ndub-student/public/register/academic-calender/update/40f685cb-e8b3-4939-ad9a-beef43a6676d|Message : Undefined variable: academic_calender_tran_code, File : G:\xampp\htdocs\NDUB\ndub-student\app\Http\Controllers\RegisterController.php, Line : 1438
10-31-2017 | 12:10:30 |   192.168.4.55|161201|http://localhost/NDUB/ndub-student/public/register/class-teacher-update/149f202c-4cef-4b64-aaca-8e026b44e8a8|Message : Undefined variable: program_coordinator_tran_code, File : G:\xampp\htdocs\NDUB\ndub-student\app\Http\Controllers\RegisterController.php, Line : 1705
10-31-2017 | 12:12:03 |   192.168.4.55|161201|http://localhost/NDUB/ndub-student/public/register/class-teacher-del/149f202c-4cef-4b64-aaca-8e026b44e8a8|Message : Undefined variable: program_coordinator_update_form, File : G:\xampp\htdocs\NDUB\ndub-student\app\Http\Controllers\RegisterController.php, Line : 1745
10-31-2017 | 12:13:02 |   192.168.4.55|161201|http://localhost/NDUB/ndub-student/public/register/class-teacher-del/149f202c-4cef-4b64-aaca-8e026b44e8a8|Message : Undefined variable: program_coordinator_update_form, File : G:\xampp\htdocs\NDUB\ndub-student\app\Http\Controllers\RegisterController.php, Line : 1745
10-31-2017 | 12:25:03 |   192.168.4.55|161501|http://localhost/NDUB/ndub-student/public/systemadmin/student-account-submit|Message : Undefined variable: student_info, File : G:\xampp\htdocs\NDUB\ndub-student\app\Http\Controllers\SystemAdminController.php, Line : 367
10-31-2017 | 12:26:36 |   192.168.4.55|161501|http://localhost/NDUB/ndub-student/public/systemadmin/student-account-submit|Message : Undefined variable: student_info, File : G:\xampp\htdocs\NDUB\ndub-student\app\Http\Controllers\SystemAdminController.php, Line : 367
10-31-2017 | 12:30:08 |   192.168.4.55|181010001|http://localhost/NDUB/ndub-student/public/login|Message : Undefined variable: i, File : G:\xampp\htdocs\NDUB\ndub-student\app\System.php, Line : 466
10-31-2017 | 12:32:55 |   192.168.4.55|181010001|http://localhost/NDUB/ndub-student/public/student/pre-advising-submit|Message : Undefined variable: student_basic, File : G:\xampp\htdocs\NDUB\ndub-student\app\Http\Controllers\StudentController.php, Line : 633
10-31-2017 | 12:35:23 |   192.168.4.55|181010001|http://localhost/NDUB/ndub-student/public/student/pre-advising-submit|Message : Undefined variable: academic_semester, File : G:\xampp\htdocs\NDUB\ndub-student\app\Http\Controllers\StudentController.php, Line : 633
10-31-2017 | 12:53:42 |   192.168.4.55|1701004|http://localhost/NDUB/ndub-student/public/login|Message : Undefined variable: i, File : G:\xampp\htdocs\NDUB\ndub-student\app\System.php, Line : 466
10-31-2017 | 12:55:35 |   192.168.4.55|1701003|http://localhost/NDUB/ndub-student/public/login|Message : Undefined variable: i, File : G:\xampp\htdocs\NDUB\ndub-student\app\System.php, Line : 466
10-31-2017 | 12:55:57 |   192.168.4.55|1701001|http://localhost/NDUB/ndub-student/public/login|Message : Undefined variable: i, File : G:\xampp\htdocs\NDUB\ndub-student\app\System.php, Line : 466
10-31-2017 | 12:59:19 |   192.168.4.55|1702001|http://localhost/NDUB/ndub-student/public/login|Message : Undefined variable: i, File : G:\xampp\htdocs\NDUB\ndub-student\app\System.php, Line : 466
10-31-2017 | 12:59:39 |   192.168.4.55|1702001|http://localhost/NDUB/ndub-student/public/faculty/pre-advising-submit|Message : Undefined variable: temp_preadvising, File : G:\xampp\htdocs\NDUB\ndub-student\app\Http\Controllers\FacultyController.php, Line : 436
