11-01-2017 | 11:16:58 |   192.168.4.55|1701001|http://localhost/NDUB/ndub-student/public/faculty/notice-board/edit/9e638a49-a4e6-40df-a85e-591e01b0213d|Message : Undefined variable: notice_tran_code, File : G:\xampp\htdocs\NDUB\ndub-student\app\Http\Controllers\FacultyController.php, Line : 2098
11-01-2017 | 11:24:52 |   192.168.4.55|1701001|http://localhost/NDUB/ndub-student/public/faculty/result-class-test-store/181010001/01/1/2018/MGT1102/5/101/101/101|Message : Undefined variable: student_basic, File : G:\xampp\htdocs\NDUB\ndub-student\app\Http\Controllers\FacultyController.php, Line : 643
11-01-2017 | 11:24:57 |   192.168.4.55|1701001|http://localhost/NDUB/ndub-student/public/faculty/result-class-test-store/181010001/01/1/2018/MGT1102/5/101/101/101|Message : Undefined variable: student_basic, File : G:\xampp\htdocs\NDUB\ndub-student\app\Http\Controllers\FacultyController.php, Line : 643
11-01-2017 | 11:25:35 |   192.168.4.55|1701001|http://localhost/NDUB/ndub-student/public/faculty/result-class-test-store/181010001/01/1/2018/MGT1102/5/101/101/101|Message : Undefined variable: student_basic, File : G:\xampp\htdocs\NDUB\ndub-student\app\Http\Controllers\FacultyController.php, Line : 643
11-01-2017 | 11:25:35 |   192.168.4.55|1701001|http://localhost/NDUB/ndub-student/public/faculty/result-class-test-store/181010001/01/1/2018/MGT1102/5/101/101/101|Message : Undefined variable: student_basic, File : G:\xampp\htdocs\NDUB\ndub-student\app\Http\Controllers\FacultyController.php, Line : 643
11-01-2017 | 11:25:37 |   192.168.4.55|1701001|http://localhost/NDUB/ndub-student/public/faculty/result-class-test-store/181010001/01/1/2018/MGT1102/5/101/101/101|Message : Undefined variable: student_basic, File : G:\xampp\htdocs\NDUB\ndub-student\app\Http\Controllers\FacultyController.php, Line : 643
11-01-2017 | 11:25:55 |   192.168.4.55|1701001|http://localhost/NDUB/ndub-student/public/faculty/result-class-test-store/181010001/01/1/2018/MGT1102/8/101/101/101|Message : Undefined variable: student_basic, File : G:\xampp\htdocs\NDUB\ndub-student\app\Http\Controllers\FacultyController.php, Line : 643
11-01-2017 | 11:25:56 |   192.168.4.55|1701001|http://localhost/NDUB/ndub-student/public/faculty/result-class-test-store/181010001/01/1/2018/MGT1102/8/101/101/101|Message : Undefined variable: student_basic, File : G:\xampp\htdocs\NDUB\ndub-student\app\Http\Controllers\FacultyController.php, Line : 643
11-01-2017 | 11:25:57 |   192.168.4.55|1701001|http://localhost/NDUB/ndub-student/public/faculty/result-class-test-store/181010001/01/1/2018/MGT1102/8/101/101/101|Message : Undefined variable: student_basic, File : G:\xampp\htdocs\NDUB\ndub-student\app\Http\Controllers\FacultyController.php, Line : 643
11-01-2017 | 11:25:58 |   192.168.4.55|1701001|http://localhost/NDUB/ndub-student/public/faculty/result-class-test-store/181010001/01/1/2018/MGT1102/8/101/101/101|Message : Undefined variable: student_basic, File : G:\xampp\htdocs\NDUB\ndub-student\app\Http\Controllers\FacultyController.php, Line : 643
11-01-2017 | 11:25:59 |   192.168.4.55|1701001|http://localhost/NDUB/ndub-student/public/faculty/result-class-test-store/181010001/01/1/2018/MGT1102/8/101/101/101|Message : Undefined variable: student_basic, File : G:\xampp\htdocs\NDUB\ndub-student\app\Http\Controllers\FacultyController.php, Line : 643
11-01-2017 | 11:26:04 |   192.168.4.55|1701001|http://localhost/NDUB/ndub-student/public/faculty/result-class-test-store/181010001/01/1/2018/MGT1102/8/5/6/7|Message : Undefined variable: student_basic, File : G:\xampp\htdocs\NDUB\ndub-student\app\Http\Controllers\FacultyController.php, Line : 643
11-01-2017 | 11:26:06 |   192.168.4.55|1701001|http://localhost/NDUB/ndub-student/public/faculty/result-class-test-store/181010001/01/1/2018/MGT1102/8/5/6/7|Message : Undefined variable: student_basic, File : G:\xampp\htdocs\NDUB\ndub-student\app\Http\Controllers\FacultyController.php, Line : 643
11-01-2017 | 12:00:19 |   192.168.4.55|1701001|http://localhost/NDUB/ndub-student/public/faculty/result-final-store/181010001/01/1/2018/MGT1102/8/7/8/30/40|Message : Undefined variable: student_basic, File : G:\xampp\htdocs\NDUB\ndub-student\app\Http\Controllers\FacultyController.php, Line : 866
11-01-2017 | 12:00:28 |   192.168.4.55|1701001|http://localhost/NDUB/ndub-student/public/faculty/result-final-store/181010001/01/1/2018/MGT1102/8/7/8/30/40|Message : Undefined variable: student_basic, File : G:\xampp\htdocs\NDUB\ndub-student\app\Http\Controllers\FacultyController.php, Line : 866
11-01-2017 | 12:19:09 |   192.168.4.55|1701005|http://localhost/NDUB/ndub-student/public/login|Message : Undefined variable: i, File : G:\xampp\htdocs\NDUB\ndub-student\app\System.php, Line : 466
11-01-2017 | 12:24:43 |   192.168.4.55|1701005|http://localhost/NDUB/ndub-student/public/faculty/head-result-publish|Message : Undefined variable: program, File : G:\xampp\htdocs\NDUB\ndub-student\app\Http\Controllers\FacultyController.php, Line : 1708
11-01-2017 | 13:11:59 |   192.168.4.55|161201|http://localhost/NDUB/ndub-student/public/register/student/withdraw/course|Message : Undefined variable: course_lab_register_data, File : G:\xampp\htdocs\NDUB\ndub-student\app\Http\Controllers\RegisterController.php, Line : 3734
