12-18-2017 | 11:01:55 |   192.168.4.55|guest|LogIn|http://localhost/NDUB/ndub-student/public/login|Mozilla Firefox|windows|||
12-18-2017 | 11:02:04 |   192.168.4.55|guest|LogIn|http://localhost/NDUB/ndub-student/public/login|Mozilla Firefox|windows|||
12-18-2017 | 11:02:10 |   192.168.4.55|161201|LogIn|http://localhost/NDUB/ndub-student/public/login|Mozilla Firefox|windows|||
12-18-2017 | 11:02:15 |   192.168.4.55|161201|Registrar Dashboard|http://localhost/NDUB/ndub-student/public/register/Register/home|Mozilla Firefox|windows|||
12-18-2017 | 11:06:11 |   192.168.4.55|161201|Registrar Existing Student|http://localhost/NDUB/ndub-student/public/register/existing/student|Mozilla Firefox|windows|||
12-18-2017 | 11:06:18 |   192.168.4.55|161201|Register Existing Student Batch By Program|http://localhost/NDUB/ndub-student/public/register/existing/student/batch/program-01|Mozilla Firefox|windows|||
12-18-2017 | 11:06:20 |   192.168.4.55|161201|Register Existing Student By Batch|http://localhost/NDUB/ndub-student/public/register/existing/batch-student/program-2/batch-2|Mozilla Firefox|windows|||
12-18-2017 | 11:06:24 |   192.168.4.55|161201|Registrar Existing Student|http://localhost/NDUB/ndub-student/public/register/existing/student?batch=2&program=01&student_no=181010013|Mozilla Firefox|windows|||
12-18-2017 | 11:24:48 |   192.168.4.55|161201|Registrar Existing Student|http://localhost/NDUB/ndub-student/public/register/existing/student|Mozilla Firefox|windows|||
12-18-2017 | 11:24:54 |   192.168.4.55|161201|Register Existing Student Batch By Program|http://localhost/NDUB/ndub-student/public/register/existing/student/batch/program-01|Mozilla Firefox|windows|||
12-18-2017 | 11:24:58 |   192.168.4.55|161201|Register Existing Student By Batch|http://localhost/NDUB/ndub-student/public/register/existing/batch-student/program-2/batch-2|Mozilla Firefox|windows|||
12-18-2017 | 11:25:04 |   192.168.4.55|161201|Register Existing Student By Batch|http://localhost/NDUB/ndub-student/public/register/existing/batch-student/program-12/batch-12|Mozilla Firefox|windows|||
12-18-2017 | 11:25:06 |   192.168.4.55|161201|Register Existing Student By Batch|http://localhost/NDUB/ndub-student/public/register/existing/batch-student/program-2/batch-2|Mozilla Firefox|windows|||
12-18-2017 | 11:25:19 |   192.168.4.55|161201|Register Existing Student Batch By Program|http://localhost/NDUB/ndub-student/public/register/existing/student/batch/program-03|Mozilla Firefox|windows|||
12-18-2017 | 11:25:20 |   192.168.4.55|161201|Register Existing Student By Batch|http://localhost/NDUB/ndub-student/public/register/existing/batch-student/program-0/batch-0|Mozilla Firefox|windows|||
12-18-2017 | 11:25:22 |   192.168.4.55|161201|Register Existing Student Batch By Program|http://localhost/NDUB/ndub-student/public/register/existing/student/batch/program-01|Mozilla Firefox|windows|||
12-18-2017 | 11:25:44 |   192.168.4.55|161201|Register Existing Student Batch By Program|http://localhost/NDUB/ndub-student/public/register/existing/student/batch/program-12|Mozilla Firefox|windows|||
12-18-2017 | 11:25:57 |   192.168.4.55|161201|Register Existing Student Batch By Program|http://localhost/NDUB/ndub-student/public/register/existing/student/batch/program-01|Mozilla Firefox|windows|||
12-18-2017 | 11:26:06 |   192.168.4.55|161201|Register Existing Student By Batch|http://localhost/NDUB/ndub-student/public/register/existing/batch-student/program-2/batch-2|Mozilla Firefox|windows|||
12-18-2017 | 11:28:52 |   192.168.4.55|161201|Registrar Existing Student|http://localhost/NDUB/ndub-student/public/register/existing/student|Mozilla Firefox|windows|||
12-18-2017 | 11:28:59 |   192.168.4.55|161201|Register Existing Student Batch By Program|http://localhost/NDUB/ndub-student/public/register/existing/student/batch/program-01|Mozilla Firefox|windows|||
12-18-2017 | 11:29:24 |   192.168.4.55|161201|Registrar Existing Student|http://localhost/NDUB/ndub-student/public/register/existing/student|Mozilla Firefox|windows|||
12-18-2017 | 11:29:28 |   192.168.4.55|161201|Register Existing Student Batch By Program|http://localhost/NDUB/ndub-student/public/register/existing/student/batch/program-01|Mozilla Firefox|windows|||
12-18-2017 | 11:29:37 |   192.168.4.55|161201|Register Existing Student By Batch|http://localhost/NDUB/ndub-student/public/register/existing/batch-student/program-Bachelor%20of%20Business%20Administration/batch-2|Mozilla Firefox|windows|||
12-18-2017 | 11:29:49 |   192.168.4.55|161201|Registrar Existing Student|http://localhost/NDUB/ndub-student/public/register/existing/student|Mozilla Firefox|windows|||
12-18-2017 | 11:29:54 |   192.168.4.55|161201|Register Existing Student Batch By Program|http://localhost/NDUB/ndub-student/public/register/existing/student/batch/program-01|Mozilla Firefox|windows|||
